State,Source,Dates,Size,MOE,Trump,Biden
AL,Auburn University at Montgomery,"Sep 30 – Oct 3, 2020",1072,4,0.57,0.37
AL,SurveyMonkey/Tableau,"Sep 1–30, 2020",1354,,0.59,0.39
AL,FM3 Research/Doug Jones[B],"May 14–18, 2020",601,4,0.53,0.39
AL,SurveyMonkey/Tableau,"Jun 8–30, 2020",649,,0.63,0.35
AL,Morning Consult,"Jul 24 – Aug 2, 2020",609,4,0.58,0.36
AL,Auburn University at Montgomery,"Jul 2–9, 2020",567,5.1,0.55,0.41
AL,SurveyMonkey/Tableau,"Jul 1–31, 2020",1583,,0.63,0.35
AL,WPA Intelligence,"Jan 7–9, 2020",500,,0.59,0.38
AL,Mason-Dixon,"Feb 4–6, 2020",625,4,0.58,0.38
AL,Tyson Group/Consumer Energy Alliance[A],"Aug 17–19, 2020",600,4,0.48,0.44
AL,SurveyMonkey/Tableau,"Aug 1–31, 2020",1220,,0.65,0.33
AK,Siena College/NYT Upshot,"Oct 9–14, 2020",423,5.7,0.45,0.39
AK,Alaska Survey Research,"Sep 26 – Oct 4, 2020",696,,0.5,0.46
AK,SurveyMonkey/Tableau,"Sep 1–30, 2020",563,,0.53,0.45
AK,Harstad Strategic Research/Independent Alaska[j],"Sep 20–23, 2020",602,4,0.47,0.46
AK,SurveyMonkey/Tableau,"Aug 1–31, 2020",472,,0.57,0.42
AK,SurveyMonkey/Tableau,"Jul 1–31, 2020",412,,0.55,0.43
AK,Public Policy Polling (D)[k],"Jul 23–24, 2020",885,,0.5,0.44
AK,Public Policy Polling[l],"Jul 7–8, 2020",1081,3,0.48,0.45
AK,Alaska Survey Research,"Jun 23 – Jul 7, 2020",663,3.9,0.49,0.48
AK,SurveyMonkey/Tableau,"Jun 8–30, 2020",161,,0.52,0.46
AK,Zogby Interactive/JZ Analytics,"Jul 22 – Aug 9, 2019",321,5.5,0.45,0.4
AZ,Ipsos/Reuters,"Oct 7–14, 2020",667,4.3,0.47,0.49
AZ,Monmouth University,Oct 11–13,502,4.4,0.44,0.5
AZ,Morning Consult,"Oct 2–11, 2020",1144,2.9,0.46,0.49
AZ,Trafalgar Group,"Oct 6–8, 2020",1087,2.89,0.48,0.44
AZ,OH Predictive Insights,"Oct 4–8, 2020",608,3.97,0.45,0.49
AZ,Redfield and Wilton Strategies,"Oct 4–7, 2020",727,3.63,0.43,0.49
AZ,Ipsos/Reuters,"Sep 29 – Oct 7, 2020",633,4.3,0.46,0.48
AZ,Latino Decisions/Democrats for Education Reform[C],"Sep 28 – Oct 6, 2020",600,4,0.45,0.48
